difficulty,gradeIndex,route_id,cragSlug,cragName,sector_id,athletic,endurance,crimpy,cruxy,sloper,technical,vertical,slab,overhang,roof,sectorSlug,zlaggableSlug,max_style,style,max_steepness,steepness,zlaggableName,grade_dev,soft_sum,hard_sum,amount_ascents,grade_dev_name,dev,soft_dev,hard_dev
6c+,22,1016,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,buon-anno,1.0,technical,1.0,vertical,Buon Anno,23.0,0.0,1.0,3.0,7a,1.0,0.0,0.3333333333333333
6a,16,1017,noriglio,Noriglio,1017,1,0,0,1,0,1,1,0,0,0,grotta,francesco,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Francesco,16.0,0.0,0.0,3.0,6a,0.0,0.0,0.0
7b,25,1018,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,brentegany,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Brentegani,24.0,1.0,0.0,3.0,7a+,-1.0,0.3333333333333333,0.0
7a+,24,1019,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,turbo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Turbo,24.0,0.0,0.0,3.0,7a+,0.0,0.0,0.0
7a,23,1020,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,il-suicida,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Il suicida,23.0,0.0,0.0,3.0,7a,0.0,0.0,0.0
6a+,17,1021,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,elvio,1.0,technical,1.0,vertical,Elvio,18.0,0.0,1.0,3.0,6b,1.0,0.0,0.3333333333333333
7b,25,1022,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,orzo-bombo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Orzo Bombo,24.0,2.0,0.0,3.0,7a+,-1.0,0.6666666666666666,0.0
6a,16,1023,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,alba-chiara,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Alba chiara,16.0,0.0,0.0,3.0,6a,0.0,0.0,0.0
5c,14,1024,noriglio,Noriglio,1001,1,0,0,1,0,1,1,0,0,0,sektor-a-grotte,me-gusta,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Me gusta,14.0,0.0,0.0,3.0,5c,0.0,0.0,0.0
6b+,19,1025,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,il-volpone,0.5,"athletic, cruxy",0.5,"overhang, vertical",Il volpone,18.0,2.0,0.0,3.0,6b,-1.0,0.6666666666666666,0.0
6c,21,1026,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,fessurina,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,fessurina,20.0,1.0,0.0,3.0,6b+,-1.0,0.3333333333333333,0.0
6a+,17,1027,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,passo-falso,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Passo falso,17.0,0.0,0.0,3.0,6a+,0.0,0.0,0.0
6a+,17,1028,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,relax,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Relax,18.0,0.0,1.0,3.0,6b,1.0,0.0,0.3333333333333333
6b,18,1029,noriglio,Noriglio,1029,1,0,0,1,0,1,1,0,0,0,alto,orefix,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Orefix,18.0,0.0,0.0,3.0,6b,0.0,0.0,0.0
6a,16,1030,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,daniel,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Daniel,16.0,0.0,0.0,3.0,6a,0.0,0.0,0.0
6b,18,1031,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,i-viaggetti-di-betti,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,I faggetti di betti,18.0,0.0,0.0,3.0,6b,0.0,0.0,0.0
7b,25,1034,noriglio,Noriglio,1034,1,0,0,1,0,1,1,0,0,0,relax,ciak-si-gira,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,ciak si gira,24.0,1.0,0.0,1.0,7a+,-1.0,1.0,0.0
4a,6,1035,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,perpalma,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Perpalma,6.0,0.0,0.0,1.0,4,0.0,0.0,0.0
6a+,17,1036,noriglio,Noriglio,1036,1,0,0,1,0,1,1,0,0,0,ricci,astralago,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Astralago,17.0,0.0,0.0,1.0,6a+,0.0,0.0,0.0
7b,25,1037,noriglio,Noriglio,994,1,0,0,1,0,1,1,0,0,0,casa-al-sole,two-thousend,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,two thousend,24.0,1.0,0.0,1.0,7a+,-1.0,1.0,0.0
6a,16,1038,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,sciacallo,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Sciacallo,17.0,0.0,1.0,1.0,6a+,1.0,0.0,1.0
6a,16,1039,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,gambadilegno,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Gambadilegno,16.0,0.0,0.0,1.0,6a,0.0,0.0,0.0
6a,16,1040,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,orzo-bimbo,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Orzo Bimbo,17.0,0.0,1.0,1.0,6a+,1.0,0.0,1.0
5c,14,1041,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,ladri-di-marmellata,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Ladri di Marmellata,14.0,0.0,0.0,1.0,5c,0.0,0.0,0.0
6a+,17,1042,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,manine-operose,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Manine operose,17.0,0.0,0.0,1.0,6a+,0.0,0.0,0.0
6c+,22,1043,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,sole-dinverno,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Sole d'inverno,22.0,0.0,0.0,1.0,6c+,0.0,0.0,0.0
6a+,17,1044,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,maneta-bestiale,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Maneta bestiale,17.0,0.0,0.0,1.0,6a+,0.0,0.0,0.0
6b,18,1045,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,facile-ma-non-troppo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Facile ma non troppo,18.0,0.0,0.0,1.0,6b,0.0,0.0,0.0
7b,25,1046,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,allambuco,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Allambuco,25.0,0.0,0.0,1.0,7b,0.0,0.0,0.0
7a+,24,1047,noriglio,Noriglio,999,1,0,0,1,0,1,0,0,0,1,unknown-sector-ec821,dalla-cina-con-furore,0.3333333333333333,"athletic, cruxy, technical",1.0,roof,Dalla cina con furore,24.0,0.0,0.0,1.0,7a+,0.0,0.0,0.0
7a+,24,1048,noriglio,Noriglio,1048,1,0,0,1,0,1,1,0,0,0,merescrinz,thriller,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,thriller,24.0,0.0,0.0,1.0,7a+,0.0,0.0,0.0
6b,18,1051,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,incrocio,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Incrocio,18.0,0.0,0.0,1.0,6b,0.0,0.0,0.0
6a,16,1052,noriglio,Noriglio,994,1,0,0,1,0,1,1,0,0,0,casa-al-sole,brush-kim,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Brush-kim,16.0,0.0,0.0,1.0,6a,0.0,0.0,0.0
7c,27,1053,noriglio,Noriglio,1017,1,0,0,1,0,1,1,0,0,0,grotta,unknown-route,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,N.N.,27.0,0.0,0.0,1.0,7c,0.0,0.0,0.0
7a,23,1054,noriglio,Noriglio,1014,1,0,0,1,0,1,1,0,0,0,sektor-d-pilastro-nascosto,mago-merlino,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Mago merlino,24.0,0.0,2.0,5.0,7a+,1.0,0.0,0.4
7b,25,1055,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,flok,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Flock,25.0,1.0,1.0,5.0,7b,0.0,0.2,0.2
6a,16,1056,noriglio,Noriglio,993,1,0,0,1,0,1,1,0,0,0,sektor-c-heidi-e-il-contadino,30-metri,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,30 metri,17.0,0.0,2.0,5.0,6a+,1.0,0.0,0.4
7a,23,1057,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,megabite,1.0,technical,1.0,vertical,Mega bite,23.0,1.0,0.0,5.0,7a,0.0,0.2,0.0
6b+,19,1058,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,combo,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Combo,19.0,1.0,0.0,5.0,6b+,0.0,0.2,0.0
6c,21,1059,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,niente-per-sempre,1.0,technical,1.0,vertical,Niente per sempre,22.0,0.0,2.0,5.0,6c+,1.0,0.0,0.4
7b,25,1060,noriglio,Noriglio,991,1,0,0,1,0,0,1,0,1,0,merespitz,qualcuno-volo-sul-nido-del-cuculo,0.5,"athletic, cruxy",0.5,"overhang, vertical",qualcuno volò sul nido del cuculo,25.0,0.0,0.0,5.0,7b,0.0,0.0,0.0
6a,16,1061,noriglio,Noriglio,1023,1,0,0,1,0,1,1,0,0,0,sektor-b-relax,anna,0.3333333333333333,"athletic, cruxy, technical",0.6,vertical,Anna,16.0,0.0,0.0,5.0,6a,0.0,0.0,0.0
6a,16,1062,noriglio,Noriglio,998,0,0,0,0,0,1,1,0,0,0,settore-c,paola,1.0,technical,1.0,vertical,Paola,16.0,0.0,0.0,5.0,6a,0.0,0.0,0.0
